"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
congestive_heart_failure,registry_data,,yesno,"Congestive Heart Failure",,,,,,,,,,,,,
functionally_dependent_hea,registry_data,,yesno,"Functionally Dependent Health Status",,,,,,,,,,,,,
icd_10_injury_diagnoses,registry_data,Diagnoses,text,"ICD-10 Injury Diagnoses",,,number,,,,,,,,,,
this_is_not_to_be_filled_f,trauma_center_characteristics,,descriptive,"This is NOT to be filled for each patient, but rather at the center level and previous year statistics",,,,,,,,,,,,,
trauma_center_verification,trauma_center_characteristics,,radio,"Trauma Center Verification Level","1, I | 2, II | 3, III",,,,,,,,,,,,
annual_hospital_patient_vi,trauma_center_characteristics,,text,"Annual hospital patient visits",,"Number of patients ",number,,,,,,,,,,
annual_trauma_volume,trauma_center_characteristics,,text,"Annual trauma volume",,"Number of patients",number,,,,,,,,,,
annual_level_one_activatio,trauma_center_characteristics,,text,"Annual level one activations",,"Number of activations",number,,,,,,,,,,
location,trauma_center_characteristics,,text,Location,,City/State/Country,,,,,,,,,,,
urbanicity,trauma_center_characteristics,,radio,Urbanicity,"1, Rural | 2, Suburban | 3, Urban",,,,,,,,,,,,
median_age_of_trauma_patie,trauma_center_characteristics,,text,"Median age of trauma patients",,Years,number,,,,,,,,,,
median_injury_severity_sco,trauma_center_characteristics,,text,"Median Injury Severity Score",,1-75,number,1,75,,,,,,,,
median_abbreviated_injury,trauma_center_characteristics,,text,"Median Abbreviated Injury Scale",,1-6,number,1,6,,,,,,,,
median_in_hospital_mortali,trauma_center_characteristics,,text,"Median in-hospital mortality of trauma patient",,Percentage,number,0,100,,,,,,,,
female,trauma_center_characteristics,,text,Female,,Percentage,number,0,100,,,,,,,,
penetrating_mechanism,trauma_center_characteristics,,text,"Penetrating Mechanism",,Percentage,number,0,100,,,,,,,,
